,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestChampion
Nita64,6155.8,59.501,11.408,24.642000000000003,20.123,616.034,3.4230000000000005,35.243,555,-1140.25,58.149166666666666,11.669166666666667,20.864166666666666,15.715000000000002,339.32416666666666,2.455833333333334,28.566666666666666,555
Mochisun,2093.9473684210525,53.42,17.57210526315789,19.22421052631579,19.970526315789474,625.9573684210526,3.632105263157895,30.497894736842103,9,-317.0,54.24916666666667,18.111666666666668,18.930833333333336,18.099999999999998,470.6866666666667,3.3800000000000003,32.9475,9
Ezr,1182.7692307692307,45.34846153846154,20.08961538461538,20.165384615384617,21.889615384615386,659.8673076923077,4.416923076923077,30.470769230769232,24,-2066.4375,48.814687500000005,20.3490625,21.199375000000003,22.773125,532.0671875,4.1584375,29.496875000000003,24
DreamKiller69,1747.3846153846155,45.834615384615375,19.873846153846156,20.68846153846154,24.624615384615385,708.2515384615385,5.078461538461538,29.96076923076923,238,-1241.7,48.301,19.756999999999998,21.125,23.357,623.646,4.8020000000000005,29.433,238
Gíízus,2690.3076923076924,51.12115384615385,17.577692307692306,22.241153846153846,24.30653846153846,768.8973076923078,5.298461538461538,29.813846153846157,51,-1606.64,51.6124,20.46,20.770799999999998,22.2244,584.4452,4.3604,30.501200000000004,51
Gekijou,800.5555555555555,49.14666666666667,20.154444444444444,20.05333333333333,19.73777777777778,572.7233333333332,6.176666666666667,29.093333333333337,110,-2638.9545454545455,47.16863636363637,17.200909090909093,21.16136363636364,19.23136363636364,510.1722727272727,5.913636363636363,30.911363636363635,110
Nightwingx,2552.3333333333335,43.11333333333332,22.05,17.77,13.946666666666665,439.3233333333333,2.9033333333333338,27.163333333333338,25,-112.85714285714286,59.565714285714286,20.39428571428571,18.56714285714286,19.978571428571428,576.7142857142857,2.222857142857143,32.82857142857143,9
Cantaloupe,1260.2631578947369,54.254210526315795,15.351052631578948,20.767368421052627,21.215789473684207,653.2389473684212,5.331578947368421,30.68210526315789,98,-2180.625,48.914375,19.5875,20.725625,22.728125,586.970625,5.161875,30.61625,150
14 73069428,1941.78125,52.239375,17.93875,21.794687500000002,25.1403125,731.756875,5.820937499999999,30.17875,67,-1702.4102564102564,48.95974358974359,18.78974358974359,21.92076923076923,24.293846153846157,620.3656410256409,5.641282051282051,30.18461538461538,67
reeyou,3694.5,50.3502380952381,19.340238095238096,23.201190476190476,24.028095238095236,769.5583333333332,1.5873809523809521,27.555714285714284,104,-844.4324324324324,46.003513513513525,23.38297297297298,21.849999999999998,23.629459459459458,606.0705405405407,2.1202702702702703,28.736756756756755,104
Stopwatch suck,1744.0294117647059,52.84294117647059,20.28058823529412,21.275000000000002,24.34058823529412,785.1073529411764,4.163235294117647,31.331470588235288,246,-2420.233333333333,44.50066666666667,19.824666666666666,20.008666666666663,22.711999999999996,595.6843333333334,4.228666666666666,29.501,246
Ned Chicane,1498.0,39.08133333333333,29.984,19.275333333333332,20.159333333333333,620.7246666666666,4.4846666666666675,30.299999999999994,84,-2465.4615384615386,35.592307692307685,25.955384615384617,18.61076923076923,21.056153846153848,532.4107692307692,4.653076923076923,31.82,84
The Donger is in,2236.684210526316,49.036842105263155,22.36421052631579,21.51157894736842,26.54842105263158,863.8673684210526,4.156315789473684,32.53263157894736,29,-2577.1363636363635,51.01045454545456,21.85590909090909,21.96181818181818,23.137272727272727,599.2681818181817,4.679090909090909,29.775454545454547,29
ciakgbmi6,896.1,48.785000000000004,18.4,20.387,23.903,702.12,5.196,27.612000000000002,112,-2246.0,46.512857142857136,18.335,21.439999999999998,24.725,580.35,6.002857142857143,28.955000000000002,112
oblivion silvia,1081.962962962963,52.89,25.495925925925924,16.71259259259259,13.420370370370373,391.20666666666665,2.558148148148148,28.665925925925926,412,-2273.7083333333335,51.165,19.752916666666668,18.23,17.590416666666666,407.8062499999999,3.374166666666666,27.86041666666667,7
Reapers Vendeta,2561.0,58.260000000000005,13.164444444444444,22.27111111111111,19.80666666666667,554.1733333333335,1.9266666666666667,28.61555555555556,60,73.0,48.016,13.281,22.258,19.150000000000002,426.89399999999995,3.152,31.038999999999998,113
vape a wind wall,2953.323529411765,46.750294117647066,22.86764705882353,22.656176470588235,25.561470588235295,792.8067647058824,5.527058823529412,30.34176470588235,157,-2155.4848484848485,37.24212121212121,21.717878787878785,20.966666666666665,20.790000000000003,516.0330303030302,4.233636363636364,27.74878787878788,157
ZoomieYuumi,319.22222222222223,56.41888888888889,21.854444444444443,13.794444444444444,10.372222222222222,348.5722222222222,0.8277777777777778,32.40888888888889,412,-1734.3333333333333,47.79888888888889,25.781111111111116,14.25888888888889,11.362222222222222,281.9055555555556,1.1722222222222223,30.353333333333335,89
SaintSeanPatrick,1163.871794871795,46.37282051282052,15.866666666666665,20.111538461538462,19.75615384615385,584.9079487179487,4.8251282051282045,30.23333333333333,51,-1848.7777777777778,44.53388888888889,13.992222222222223,19.77916666666667,18.26527777777778,438.0638888888889,4.86361111111111,28.7775,51
Frosslas,1080.2285714285715,46.52600000000001,21.423999999999996,15.584000000000001,16.404000000000003,520.9377142857143,1.3245714285714285,29.80171428571429,143,-1590.5641025641025,54.30205128205127,20.886923076923075,16.63564102564102,17.155384615384612,445.848717948718,1.5876923076923077,29.4948717948718,143
