,GamesPlayed,WinRate,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestRole,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestRole,LosingestChampion
XstC,86,48.84,876.7619047619048,45.169761904761906,24.602619047619047,17.357857142857142,17.847619047619048,593.9319047619049,1.4626190476190477,30.22666666666666,DUO_SUPPORTBOTTOM,Zyra,-148.54545454545453,53.51681818181817,20.879772727272726,19.042272727272724,22.962954545454547,650.6452272727273,1.976136363636364,30.82431818181818,DUO_SUPPORTBOTTOM,Zyra
Spungee,48,56.25,1931.962962962963,53.0462962962963,18.65888888888889,18.59259259259259,17.89777777777778,524.9866666666667,2.2655555555555558,27.08333333333333,DUO_SUPPORTBOTTOM,Karma,-1162.904761904762,54.61619047619047,24.43809523809524,16.64761904761905,14.717142857142855,358.1871428571428,1.470952380952381,30.025238095238098,DUO_SUPPORTBOTTOM,Karma
ƒƒour,81,48.15,1899.0,49.74384615384616,21.077179487179485,20.905384615384612,22.10615384615384,648.4166666666666,3.9341025641025644,29.046410256410255,DUO_CARRYBOTTOM,Jhin,-1159.904761904762,51.06452380952381,21.829285714285714,20.882380952380952,21.492380952380948,574.2976190476192,3.7542857142857136,31.427619047619043,DUO_CARRYBOTTOM,Jhin
CLANGster,69,44.93,1067.3225806451612,43.286774193548396,20.94516129032258,20.230967741935483,20.69290322580645,564.3387096774194,5.260645161290322,27.298709677419357,DUO_CARRYBOTTOM,Garen,-1583.3947368421052,41.886842105263156,21.597368421052632,21.321578947368423,22.40947368421053,567.1344736842105,5.1421052631578945,29.898157894736844,SOLOTOP,Garen
Antonah,66,54.55,3416.277777777778,43.182500000000005,23.519722222222228,22.44361111111111,25.984444444444442,814.4575,5.9941666666666675,29.15694444444444,SOLOMID,Sett,-340.8,44.98633333333334,22.607999999999997,23.005,26.100666666666662,693.0320000000003,5.631333333333333,31.440333333333335,SOLOTOP,Irelia
Ohsup,77,50.65,1411.4102564102564,49.48282051282051,16.967692307692307,20.069487179487176,16.401794871794866,514.4941025641025,1.1117948717948718,30.244615384615383,NONEJUNGLE,Ekko,-1252.1315789473683,53.13947368421052,17.61026315789474,20.497894736842103,18.092631578947362,501.358947368421,1.5726315789473682,32.586052631578944,NONEJUNGLE,Shen
Elemonation,65,53.85,556.7142857142857,44.370000000000005,26.886857142857142,19.305428571428575,19.32314285714286,586.8305714285714,3.9791428571428566,31.795142857142856,SOLOMID,Yasuo,-2428.9,41.04999999999999,24.67033333333334,19.888333333333335,19.473666666666666,471.5376666666667,3.9136666666666664,28.916999999999994,SOLOMID,Yasuo
RunMyChildren,81,41.98,1196.9411764705883,50.4485294117647,17.54705882352941,17.833823529411763,18.665294117647058,564.4579411764706,2.599411764705882,31.381764705882347,DUO_SUPPORTBOTTOM,Sona,-1395.7446808510638,46.63361702127659,17.98702127659574,17.50872340425532,16.489148936170213,410.3259574468085,2.3731914893617025,30.694468085106386,DUO_SUPPORTBOTTOM,Sona
Chimp Slayer,22,77.27,4639.235294117647,63.973529411764716,20.915882352941175,25.762941176470587,30.47941176470588,947.460588235294,1.5664705882352943,27.03235294117647,NONEJUNGLE,MasterYi,-690.8,47.32,19.14,20.296,18.895999999999997,531.728,1.834,28.830000000000002,NONEJUNGLE,Rengar
14weedandanime88,68,57.35,4856.48717948718,54.6025641025641,26.667692307692306,25.035641025641024,33.32435897435898,1054.8841025641027,5.356410256410257,26.743846153846153,SOLOMID,Cassiopeia,1567.2068965517242,50.31827586206896,25.49068965517242,23.49,25.487931034482763,740.2220689655173,3.950344827586207,29.664827586206897,SOLOMID,Tryndamere
Jet X,65,55.38,3097.8333333333335,51.4288888888889,16.916388888888893,22.880277777777778,26.468888888888888,854.3547222222222,4.993333333333333,31.046388888888885,SOLOMID,Ahri,-843.9310344827586,48.14413793103449,19.692758620689652,21.537241379310352,21.722068965517245,598.3203448275862,3.4658620689655173,29.55827586206897,NONEJUNGLE,Ahri
Pantyraid69,73,54.79,3934.725,44.8995,24.447499999999998,23.065499999999997,24.57225,768.2445,5.3,28.97475,SOLOTOP,Darius,-1203.969696969697,46.947878787878786,23.17939393939394,22.501818181818184,24.15818181818182,649.0463636363636,4.406969696969697,29.903333333333332,SOLOTOP,Garen
Byroni,67,44.78,297.53333333333336,50.65366666666666,26.14966666666667,20.405000000000005,23.620000000000005,781.8680000000002,4.713,31.85066666666667,DUO_CARRYBOTTOM,Caitlyn,-2484.0,46.560810810810814,23.439189189189186,20.563513513513513,22.031081081081084,568.6567567567567,4.334864864864865,29.733513513513522,DUO_CARRYBOTTOM,Caitlyn
Head Pats Pls,76,56.58,2027.5581395348838,58.08744186046511,23.56511627906977,16.81767441860465,12.841162790697673,403.2927906976745,1.4867441860465114,30.416744186046508,DUO_SUPPORTBOTTOM,Janna,-1472.939393939394,52.127272727272725,22.166060606060604,18.57575757575757,16.421818181818182,452.83060606060604,2.3287878787878786,30.84545454545454,DUO_SUPPORTBOTTOM,Janna
Alex of Thunder,69,46.38,598.5625,47.511250000000004,21.3878125,16.73625,12.6228125,389.98749999999995,2.8575,30.7990625,DUO_SUPPORTBOTTOM,Leona,-1999.7567567567567,44.56297297297297,20.04945945945946,17.82216216216216,14.043783783783784,343.18189189189195,2.9918918918918918,29.960270270270268,DUO_SUPPORTBOTTOM,Nautilus
MooTheCowFrank,85,50.59,1954.7209302325582,52.33441860465116,22.61,20.90093023255814,24.711162790697674,763.2976744186047,4.182790697674419,30.426279069767446,SOLOMID,Kassadin,-1598.1190476190477,47.90238095238095,22.36452380952381,19.72785714285714,20.631666666666668,535.4361904761905,3.5090476190476183,30.10261904761905,SOLOMID,Yasuo
Tyestro,83,54.22,1420.6666666666667,44.092666666666666,15.542888888888886,17.42577777777778,19.194444444444443,566.8973333333332,2.6166666666666667,29.571333333333335,DUO_SUPPORTBOTTOM,Xerath,-1328.578947368421,45.562105263157896,16.39631578947368,18.76578947368421,20.495,499.7207894736843,3.2734210526315786,30.900789473684206,DUO_SUPPORTBOTTOM,Xerath
Teaching,78,58.97,3729.021739130435,60.24173913043478,12.768260869565216,20.460869565217394,28.853478260869565,862.751304347826,2.6639130434782605,28.644782608695653,DUO_SUPPORTBOTTOM,Anivia,281.1875,58.2771875,16.0740625,19.6590625,26.9446875,684.381875,2.3637499999999996,29.676250000000003,DUO_SUPPORTBOTTOM,Anivia
Libbybear,76,53.95,1729.341463414634,45.46121951219512,14.140975609756097,16.198780487804882,18.62073170731707,592.6609756097561,1.254390243902439,32.768780487804875,DUO_SUPPORTBOTTOM,Zyra,-451.2857142857143,50.800285714285714,16.908,16.87914285714286,21.94257142857143,571.084,1.524,32.584,DUO_SUPPORTBOTTOM,Zyra
SicKisH,76,43.42,803.6666666666666,44.844848484848484,18.57121212121212,19.91909090909091,20.172121212121215,609.7048484848485,4.489393939393939,29.195757575757575,SOLOMID,Talon,-2020.9302325581396,44.939767441860475,18.770697674418606,20.184418604651164,20.792325581395346,530.3234883720932,3.7188372093023254,29.29674418604651,NONEJUNGLE,Ziggs
1Honey Badger1,81,55.56,2253.6,53.79355555555555,21.92488888888889,22.288666666666664,24.34755555555556,747.8106666666667,5.430888888888888,30.047333333333327,DUO_CARRYBOTTOM,Tristana,-842.3888888888889,55.12777777777777,19.221666666666668,22.93888888888889,24.00777777777778,680.7333333333333,5.534166666666668,32.45027777777778,DUO_CARRYBOTTOM,MissFortune
