,GamesPlayed,WinRate,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestRole,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestRole,LosingestChampion
theonlyjman,82,51.22,2267.785714285714,52.220952380952376,17.58904761904762,21.858809523809523,23.59857142857143,740.9907142857143,5.184285714285714,29.794761904761902,DUO_CARRYBOTTOM,Caitlyn,-2327.45,47.36825,16.758249999999997,21.227249999999998,22.7015,582.2875,5.15075,30.206499999999995,DUO_CARRYBOTTOM,Ezreal
Kiteratsu,78,56.41,1138.7954545454545,46.296363636363644,16.953181818181818,20.084318181818176,20.79477272727273,627.9231818181818,4.014772727272727,29.928409090909085,SOLOMID,Katarina,-2197.0,50.06382352941176,17.283529411764704,20.850882352941177,21.988235294117647,562.465,4.000882352941177,31.426176470588235,SOLOMID,Katarina
DrevanOP,80,48.75,1618.6923076923076,45.91487179487179,21.655384615384612,21.20179487179487,18.265384615384612,602.9138461538462,2.6594871794871793,30.038205128205128,NONEJUNGLE,Warwick,-1580.9756097560976,47.49707317073171,19.152926829268292,21.00609756097561,18.48560975609756,477.6741463414634,3.0143902439024393,28.298048780487804,NONEJUNGLE,Caitlyn
PUMAPATAY518,44,56.82,3013.0,53.524800000000006,10.604000000000001,23.1032,21.5656,643.7651999999999,1.1887999999999999,27.547199999999997,NONEJUNGLE,Vi,285.8421052631579,58.25736842105264,14.987368421052631,23.722631578947368,25.19105263157895,670.9842105263158,3.128421052631579,32.933684210526316,NONEJUNGLE,Volibear
Specia,87,41.38,1013.25,55.208333333333336,16.49777777777778,14.865277777777777,10.143888888888888,304.1261111111112,0.7694444444444445,30.196666666666673,DUO_SUPPORTBOTTOM,Thresh,-2002.921568627451,50.06960784313725,18.254901960784313,15.27764705882353,10.78078431372549,264.9209803921569,0.9558823529411763,29.73,DUO_SUPPORTBOTTOM,Thresh
Stes,76,42.11,1033.90625,43.2203125,24.136875000000003,20.2696875,19.173125,597.8896875,3.5178125,29.480312499999997,NONEJUNGLE,Ekko,-2244.2954545454545,48.17113636363637,22.489772727272726,20.420454545454547,21.37568181818182,580.6693181818181,3.6654545454545455,31.62863636363636,DUO_CARRYBOTTOM,Vayne
JSaint89,85,45.88,867.0,55.5825641025641,13.517179487179487,14.959743589743592,10.957948717948717,333.32794871794863,0.9461538461538459,30.44538461538462,DUO_SUPPORTBOTTOM,Nami,-1456.4782608695652,50.54260869565218,15.880434782608695,15.458913043478264,13.148913043478261,352.09869565217394,1.0269565217391303,31.48434782608696,DUO_SUPPORTBOTTOM,Maokai
Hilliumz,78,46.15,689.9722222222222,47.57527777777777,23.188055555555557,18.43027777777778,16.961666666666666,564.3294444444444,2.3627777777777776,31.34638888888889,DUO_SUPPORTBOTTOM,Brand,-2162.595238095238,50.45666666666666,23.662142857142854,19.210238095238093,19.606904761904758,532.3040476190478,2.1571428571428575,31.000476190476196,NONEJUNGLE,MissFortune
sad desire pain,76,52.63,1464.85,54.105999999999995,24.3205,21.735999999999997,26.384249999999998,804.9667499999999,5.01175,31.59325,SOLOMID,Kassadin,-1487.8055555555557,52.3063888888889,19.388055555555553,21.2875,25.80638888888889,682.005,4.544444444444443,30.43972222222222,SOLOMID,Kassadin
Stovvadz,78,60.26,2378.255319148936,49.91340425531916,23.516808510638292,21.342978723404254,20.224893617021277,610.0821276595744,1.2227659574468084,28.858723404255322,NONEJUNGLE,Vi,-1409.5483870967741,52.45677419354839,22.10967741935484,21.285161290322577,19.49225806451613,507.48290322580647,1.289677419354839,30.545161290322582,NONEJUNGLE,Ekko
czaria,83,51.81,1255.906976744186,52.80976744186046,13.908372093023251,19.340930232558136,17.58418604651163,547.2367441860466,4.2046511627906975,30.249069767441856,DUO_CARRYBOTTOM,Ashe,-2406.55,50.06125,15.188999999999998,19.652749999999997,17.32575,390.3145,4.142,29.0995,DUO_CARRYBOTTOM,Leblanc
iFhAWayne,57,49.12,3231.535714285714,56.42142857142857,14.772142857142857,24.211071428571422,26.506071428571428,818.5867857142856,6.1242857142857146,30.357500000000005,DUO_CARRYBOTTOM,Lucian,-23.24137931034483,53.168965517241375,15.507931034482759,23.905862068965526,26.08379310344828,666.3544827586206,6.0120689655172415,28.268275862068965,DUO_CARRYBOTTOM,Lucian
L Ron Chubbard,88,51.14,1127.911111111111,53.20288888888889,18.311999999999998,14.903999999999998,9.589333333333334,303.7957777777778,0.5802222222222223,30.13955555555556,DUO_SUPPORTBOTTOM,Bard,-2047.8139534883721,51.416976744186044,18.287441860465115,14.372093023255811,9.852093023255815,244.8655813953488,0.5941860465116279,30.48511627906977,DUO_SUPPORTBOTTOM,Bard
hayzum,77,49.35,1366.6052631578948,51.554210526315785,15.350263157894732,18.734473684210524,14.820263157894738,433.9192105263158,2.7931578947368423,30.896842105263158,DUO_CARRYBOTTOM,Nunu,-2340.25641025641,45.59564102564102,17.656666666666666,17.73410256410256,16.013076923076923,369.7941025641026,2.8089743589743588,29.810256410256407,DUO_CARRYBOTTOM,Ezreal
SirMisty,74,50.0,1082.6486486486488,50.97918918918919,16.56162162162162,16.228918918918914,12.117567567567567,349.41513513513513,1.631081081081081,29.02,DUO_SUPPORTBOTTOM,Morgana,-2029.2432432432433,45.34837837837838,18.87810810810811,15.687027027027028,12.10918918918919,317.6881081081081,1.6510810810810812,30.86189189189189,DUO_SUPPORTBOTTOM,Leona
DahManOnDahMoon,84,58.33,1591.8775510204082,50.90632653061224,13.763265306122447,20.19326530612245,20.786938775510205,621.2067346938775,5.01591836734694,29.602653061224494,SOLOMID,Malzahar,-1641.9714285714285,45.21714285714285,13.920857142857141,20.593999999999998,21.65,493.11000000000007,4.491142857142857,29.345999999999997,SOLOMID,Malzahar
fearthequ33r,79,51.9,916.6341463414634,53.049756097560966,19.923170731707316,16.20219512195122,12.341219512195122,370.7868292682927,1.131219512195122,29.219756097560982,DUO_SUPPORTBOTTOM,Blitzcrank,-1963.5,51.776315789473685,20.408421052631574,16.484736842105264,13.467368421052633,339.27500000000003,1.5460526315789473,30.285263157894736,DUO_SUPPORTBOTTOM,Blitzcrank
Dumbski,75,46.67,1665.942857142857,49.132,18.592000000000002,19.79457142857143,17.401999999999997,558.7054285714287,1.4985714285714284,30.606285714285715,NONEJUNGLE,LeeSin,-1781.55,55.967000000000006,18.62825,19.86875,18.017000000000003,437.85375000000005,1.7659999999999996,29.75,NONEJUNGLE,LeeSin
